File;Rule;Hit-Type;Misuse;Misuse-Line;Parameter-Value;Parameter-Type;Parameter-Line
/media/ubuntu/DATA/repositories-python/netbox-community__netbox/requirements_licma_analysis/pycryptodome-3.9.8-cp36-cp36m-manylinux1_x86_64/Crypto/Protocol/KDF.py;PyQuery: Rule 4 | PyCrypto;warning;KDF.scrypt.PBKDF2;385;UNKNOWN;Types.Unknown;337
/media/ubuntu/DATA/repositories-python/netbox-community__netbox/requirements_licma_analysis/pycryptodome-3.9.8-cp36-cp36m-manylinux1_x86_64/Crypto/Protocol/KDF.py;PyQuery: Rule 4 | PyCrypto;critical;PBKDF2 -> hard coded bytes;405;;Types.StringLiteral;405
/media/ubuntu/DATA/repositories-python/netbox-community__netbox/requirements_licma_analysis/pycryptodome-3.9.8-cp36-cp36m-manylinux1_x86_64/Crypto/Protocol/KDF.py;PyQuery: Rule 5 | PyCrypto;critical;PBKDF2 -> hard coded int;385;1;Types.NumberLiteral;385
/media/ubuntu/DATA/repositories-python/netbox-community__netbox/requirements_licma_analysis/pycryptodome-3.9.8-cp36-cp36m-manylinux1_x86_64/Crypto/Protocol/KDF.py;PyQuery: Rule 5 | PyCrypto;critical;PBKDF2 -> hard coded int;406;1;Types.NumberLiteral;406
/media/ubuntu/DATA/repositories-python/netbox-community__netbox/requirements_licma_analysis/pycryptodome-3.9.7-cp36-cp36m-manylinux1_x86_64/Crypto/Protocol/KDF.py;PyQuery: Rule 4 | PyCrypto;warning;KDF.scrypt.PBKDF2;385;UNKNOWN;Types.Unknown;337
/media/ubuntu/DATA/repositories-python/netbox-community__netbox/requirements_licma_analysis/pycryptodome-3.9.7-cp36-cp36m-manylinux1_x86_64/Crypto/Protocol/KDF.py;PyQuery: Rule 4 | PyCrypto;critical;PBKDF2 -> hard coded bytes;405;;Types.StringLiteral;405
/media/ubuntu/DATA/repositories-python/netbox-community__netbox/requirements_licma_analysis/pycryptodome-3.9.7-cp36-cp36m-manylinux1_x86_64/Crypto/Protocol/KDF.py;PyQuery: Rule 5 | PyCrypto;critical;PBKDF2 -> hard coded int;385;1;Types.NumberLiteral;385
/media/ubuntu/DATA/repositories-python/netbox-community__netbox/requirements_licma_analysis/pycryptodome-3.9.7-cp36-cp36m-manylinux1_x86_64/Crypto/Protocol/KDF.py;PyQuery: Rule 5 | PyCrypto;critical;PBKDF2 -> hard coded int;406;1;Types.NumberLiteral;406
/media/ubuntu/DATA/repositories-python/n1nj4sec__pupy/requirements_licma_analysis/pycryptodome-3.7.0-cp36-cp36m-manylinux1_x86_64/Crypto/Protocol/KDF.py;PyQuery: Rule 4 | PyCrypto;warning;KDF.scrypt.PBKDF2;388;UNKNOWN;Types.Unknown;331
/media/ubuntu/DATA/repositories-python/n1nj4sec__pupy/requirements_licma_analysis/pycryptodome-3.7.0-cp36-cp36m-manylinux1_x86_64/Crypto/Protocol/KDF.py;PyQuery: Rule 4 | PyCrypto;critical;PBKDF2 -> hard coded bytes;408;;Types.StringLiteral;408
/media/ubuntu/DATA/repositories-python/n1nj4sec__pupy/requirements_licma_analysis/pycryptodome-3.7.0-cp36-cp36m-manylinux1_x86_64/Crypto/Protocol/KDF.py;PyQuery: Rule 5 | PyCrypto;critical;PBKDF2 -> hard coded int;388;1;Types.NumberLiteral;388
/media/ubuntu/DATA/repositories-python/n1nj4sec__pupy/requirements_licma_analysis/pycryptodome-3.7.0-cp36-cp36m-manylinux1_x86_64/Crypto/Protocol/KDF.py;PyQuery: Rule 5 | PyCrypto;critical;PBKDF2 -> hard coded int;409;1;Types.NumberLiteral;409
/media/ubuntu/DATA/repositories-python/trustedsec__social-engineer-toolkit/requirements_licma_analysis/impacket-0.9.21/impacket-0.9.21/impacket/krb5/crypto.py;PyQuery: Rule 1 | PyCrypto;critical;AES.new -> hard coded attribute;448;MODE_ECB;Types.StringLiteral;448
/media/ubuntu/DATA/repositories-python/trustedsec__social-engineer-toolkit/requirements_licma_analysis/impacket-0.9.21/impacket-0.9.21/impacket/krb5/crypto.py;PyQuery: Rule 2 | PyCrypto;critical;AES.new -> hard coded bytes;436;;Types.StringLiteral;436
/media/ubuntu/DATA/repositories-python/trustedsec__social-engineer-toolkit/requirements_licma_analysis/impacket-0.9.21/impacket-0.9.21/impacket/krb5/crypto.py;PyQuery: Rule 4 | PyCrypto;warning;crypto._AESEnctype.string_to_key.PBKDF2;429;UNKNOWN;Types.Unknown;357
/media/ubuntu/DATA/repositories-python/trustedsec__social-engineer-toolkit/requirements_licma_analysis/impacket-0.9.21/impacket-0.9.21/impacket/krb5/crypto.py;PyQuery: Rule 4 | PyCrypto;warning;crypto._AESEnctype.string_to_key.PBKDF2;429;UNKNOWN;Types.Unknown;399
/media/ubuntu/DATA/repositories-python/trustedsec__social-engineer-toolkit/requirements_licma_analysis/impacket-0.9.21/impacket-0.9.21/impacket/krb5/crypto.py;PyQuery: Rule 4 | PyCrypto;warning;crypto._AESEnctype.string_to_key.PBKDF2;429;UNKNOWN;Types.Unknown;426
/media/ubuntu/DATA/repositories-python/trustedsec__social-engineer-toolkit/requirements_licma_analysis/impacket-0.9.21/impacket-0.9.21/impacket/krb5/crypto.py;PyQuery: Rule 4 | PyCrypto;warning;crypto._AESEnctype.string_to_key.PBKDF2;429;UNKNOWN;Types.Unknown;500
/media/ubuntu/DATA/repositories-python/trustedsec__social-engineer-toolkit/requirements_licma_analysis/pycryptodomex-3.9.8-cp36-cp36m-manylinux1_x86_64/Cryptodome/Protocol/KDF.py;PyQuery: Rule 4 | PyCrypto;warning;KDF.scrypt.PBKDF2;385;UNKNOWN;Types.Unknown;337
/media/ubuntu/DATA/repositories-python/trustedsec__social-engineer-toolkit/requirements_licma_analysis/pycryptodomex-3.9.8-cp36-cp36m-manylinux1_x86_64/Cryptodome/Protocol/KDF.py;PyQuery: Rule 4 | PyCrypto;critical;PBKDF2 -> hard coded bytes;405;;Types.StringLiteral;405
/media/ubuntu/DATA/repositories-python/trustedsec__social-engineer-toolkit/requirements_licma_analysis/pycryptodomex-3.9.8-cp36-cp36m-manylinux1_x86_64/Cryptodome/Protocol/KDF.py;PyQuery: Rule 5 | PyCrypto;critical;PBKDF2 -> hard coded int;385;1;Types.NumberLiteral;385
/media/ubuntu/DATA/repositories-python/trustedsec__social-engineer-toolkit/requirements_licma_analysis/pycryptodomex-3.9.8-cp36-cp36m-manylinux1_x86_64/Cryptodome/Protocol/KDF.py;PyQuery: Rule 5 | PyCrypto;critical;PBKDF2 -> hard coded int;406;1;Types.NumberLiteral;406
/media/ubuntu/DATA/repositories-python/SecureAuthCorp__impacket/impacket/krb5/crypto.py;PyQuery: Rule 1 | PyCrypto;critical;AES.new -> hard coded attribute;448;MODE_ECB;Types.StringLiteral;448
/media/ubuntu/DATA/repositories-python/SecureAuthCorp__impacket/impacket/krb5/crypto.py;PyQuery: Rule 2 | PyCrypto;critical;AES.new -> hard coded bytes;436;;Types.StringLiteral;436
/media/ubuntu/DATA/repositories-python/SecureAuthCorp__impacket/impacket/krb5/crypto.py;PyQuery: Rule 4 | PyCrypto;warning;crypto._AESEnctype.string_to_key.PBKDF2;429;UNKNOWN;Types.Unknown;357
/media/ubuntu/DATA/repositories-python/SecureAuthCorp__impacket/impacket/krb5/crypto.py;PyQuery: Rule 4 | PyCrypto;warning;crypto._AESEnctype.string_to_key.PBKDF2;429;UNKNOWN;Types.Unknown;399
/media/ubuntu/DATA/repositories-python/SecureAuthCorp__impacket/impacket/krb5/crypto.py;PyQuery: Rule 4 | PyCrypto;warning;crypto._AESEnctype.string_to_key.PBKDF2;429;UNKNOWN;Types.Unknown;426
/media/ubuntu/DATA/repositories-python/SecureAuthCorp__impacket/impacket/krb5/crypto.py;PyQuery: Rule 4 | PyCrypto;warning;crypto._AESEnctype.string_to_key.PBKDF2;429;UNKNOWN;Types.Unknown;500
/media/ubuntu/DATA/repositories-python/SecureAuthCorp__impacket/requirements_licma_analysis/pycryptodomex-3.9.8-cp36-cp36m-manylinux1_x86_64/Cryptodome/Protocol/KDF.py;PyQuery: Rule 4 | PyCrypto;warning;KDF.scrypt.PBKDF2;385;UNKNOWN;Types.Unknown;337
/media/ubuntu/DATA/repositories-python/SecureAuthCorp__impacket/requirements_licma_analysis/pycryptodomex-3.9.8-cp36-cp36m-manylinux1_x86_64/Cryptodome/Protocol/KDF.py;PyQuery: Rule 4 | PyCrypto;critical;PBKDF2 -> hard coded bytes;405;;Types.StringLiteral;405
/media/ubuntu/DATA/repositories-python/SecureAuthCorp__impacket/requirements_licma_analysis/pycryptodomex-3.9.8-cp36-cp36m-manylinux1_x86_64/Cryptodome/Protocol/KDF.py;PyQuery: Rule 5 | PyCrypto;critical;PBKDF2 -> hard coded int;385;1;Types.NumberLiteral;385
/media/ubuntu/DATA/repositories-python/SecureAuthCorp__impacket/requirements_licma_analysis/pycryptodomex-3.9.8-cp36-cp36m-manylinux1_x86_64/Cryptodome/Protocol/KDF.py;PyQuery: Rule 5 | PyCrypto;critical;PBKDF2 -> hard coded int;406;1;Types.NumberLiteral;406
/media/ubuntu/DATA/repositories-python/cloudera__hue/desktop/core/ext-py/pycryptodomex-3.9.7/lib/Cryptodome/Protocol/KDF.py;PyQuery: Rule 4 | PyCrypto;warning;KDF.scrypt.PBKDF2;385;UNKNOWN;Types.Unknown;337
/media/ubuntu/DATA/repositories-python/cloudera__hue/desktop/core/ext-py/pycryptodomex-3.9.7/lib/Cryptodome/Protocol/KDF.py;PyQuery: Rule 4 | PyCrypto;critical;PBKDF2 -> hard coded bytes;405;;Types.StringLiteral;405
/media/ubuntu/DATA/repositories-python/cloudera__hue/desktop/core/ext-py/pycryptodomex-3.9.7/lib/Cryptodome/Protocol/KDF.py;PyQuery: Rule 5 | PyCrypto;critical;PBKDF2 -> hard coded int;385;1;Types.NumberLiteral;385
/media/ubuntu/DATA/repositories-python/cloudera__hue/desktop/core/ext-py/pycryptodomex-3.9.7/lib/Cryptodome/Protocol/KDF.py;PyQuery: Rule 5 | PyCrypto;critical;PBKDF2 -> hard coded int;406;1;Types.NumberLiteral;406
/media/ubuntu/DATA/repositories-python/PokemonGoF__PokemonGo-Bot/requirements_licma_analysis/pycryptodomex-3.9.8-cp36-cp36m-manylinux1_x86_64/Cryptodome/Protocol/KDF.py;PyQuery: Rule 4 | PyCrypto;warning;KDF.scrypt.PBKDF2;385;UNKNOWN;Types.Unknown;337
/media/ubuntu/DATA/repositories-python/PokemonGoF__PokemonGo-Bot/requirements_licma_analysis/pycryptodomex-3.9.8-cp36-cp36m-manylinux1_x86_64/Cryptodome/Protocol/KDF.py;PyQuery: Rule 4 | PyCrypto;critical;PBKDF2 -> hard coded bytes;405;;Types.StringLiteral;405
/media/ubuntu/DATA/repositories-python/PokemonGoF__PokemonGo-Bot/requirements_licma_analysis/pycryptodomex-3.9.8-cp36-cp36m-manylinux1_x86_64/Cryptodome/Protocol/KDF.py;PyQuery: Rule 5 | PyCrypto;critical;PBKDF2 -> hard coded int;385;1;Types.NumberLiteral;385
/media/ubuntu/DATA/repositories-python/PokemonGoF__PokemonGo-Bot/requirements_licma_analysis/pycryptodomex-3.9.8-cp36-cp36m-manylinux1_x86_64/Cryptodome/Protocol/KDF.py;PyQuery: Rule 5 | PyCrypto;critical;PBKDF2 -> hard coded int;406;1;Types.NumberLiteral;406
/media/ubuntu/DATA/repositories-python/byt3bl33d3r__CrackMapExec/requirements_licma_analysis/impacket-0.9.21/impacket-0.9.21/impacket/krb5/crypto.py;PyQuery: Rule 1 | PyCrypto;critical;AES.new -> hard coded attribute;448;MODE_ECB;Types.StringLiteral;448
/media/ubuntu/DATA/repositories-python/byt3bl33d3r__CrackMapExec/requirements_licma_analysis/impacket-0.9.21/impacket-0.9.21/impacket/krb5/crypto.py;PyQuery: Rule 2 | PyCrypto;critical;AES.new -> hard coded bytes;436;;Types.StringLiteral;436
/media/ubuntu/DATA/repositories-python/byt3bl33d3r__CrackMapExec/requirements_licma_analysis/impacket-0.9.21/impacket-0.9.21/impacket/krb5/crypto.py;PyQuery: Rule 4 | PyCrypto;warning;crypto._AESEnctype.string_to_key.PBKDF2;429;UNKNOWN;Types.Unknown;357
/media/ubuntu/DATA/repositories-python/byt3bl33d3r__CrackMapExec/requirements_licma_analysis/impacket-0.9.21/impacket-0.9.21/impacket/krb5/crypto.py;PyQuery: Rule 4 | PyCrypto;warning;crypto._AESEnctype.string_to_key.PBKDF2;429;UNKNOWN;Types.Unknown;399
/media/ubuntu/DATA/repositories-python/byt3bl33d3r__CrackMapExec/requirements_licma_analysis/impacket-0.9.21/impacket-0.9.21/impacket/krb5/crypto.py;PyQuery: Rule 4 | PyCrypto;warning;crypto._AESEnctype.string_to_key.PBKDF2;429;UNKNOWN;Types.Unknown;426
/media/ubuntu/DATA/repositories-python/byt3bl33d3r__CrackMapExec/requirements_licma_analysis/impacket-0.9.21/impacket-0.9.21/impacket/krb5/crypto.py;PyQuery: Rule 4 | PyCrypto;warning;crypto._AESEnctype.string_to_key.PBKDF2;429;UNKNOWN;Types.Unknown;500
/media/ubuntu/DATA/repositories-python/byt3bl33d3r__CrackMapExec/requirements_licma_analysis/pycryptodomex-3.9.7-cp36-cp36m-manylinux1_x86_64/Cryptodome/Protocol/KDF.py;PyQuery: Rule 4 | PyCrypto;warning;KDF.scrypt.PBKDF2;385;UNKNOWN;Types.Unknown;337
/media/ubuntu/DATA/repositories-python/byt3bl33d3r__CrackMapExec/requirements_licma_analysis/pycryptodomex-3.9.7-cp36-cp36m-manylinux1_x86_64/Cryptodome/Protocol/KDF.py;PyQuery: Rule 4 | PyCrypto;critical;PBKDF2 -> hard coded bytes;405;;Types.StringLiteral;405
/media/ubuntu/DATA/repositories-python/byt3bl33d3r__CrackMapExec/requirements_licma_analysis/pycryptodomex-3.9.7-cp36-cp36m-manylinux1_x86_64/Cryptodome/Protocol/KDF.py;PyQuery: Rule 5 | PyCrypto;critical;PBKDF2 -> hard coded int;385;1;Types.NumberLiteral;385
/media/ubuntu/DATA/repositories-python/byt3bl33d3r__CrackMapExec/requirements_licma_analysis/pycryptodomex-3.9.7-cp36-cp36m-manylinux1_x86_64/Cryptodome/Protocol/KDF.py;PyQuery: Rule 5 | PyCrypto;critical;PBKDF2 -> hard coded int;406;1;Types.NumberLiteral;406
/media/ubuntu/DATA/repositories-python/byt3bl33d3r__CrackMapExec/requirements_licma_analysis/minikerberos-0.2.3-py3-none-any/minikerberos/protocol/encryption.py;PyQuery: Rule 4 | PyCrypto;warning;encryption._AESEnctype.string_to_key.PBKDF2;447;UNKNOWN;Types.Unknown;375
/media/ubuntu/DATA/repositories-python/byt3bl33d3r__CrackMapExec/requirements_licma_analysis/minikerberos-0.2.3-py3-none-any/minikerberos/protocol/encryption.py;PyQuery: Rule 4 | PyCrypto;warning;encryption._AESEnctype.string_to_key.PBKDF2;447;UNKNOWN;Types.Unknown;416
/media/ubuntu/DATA/repositories-python/byt3bl33d3r__CrackMapExec/requirements_licma_analysis/minikerberos-0.2.3-py3-none-any/minikerberos/protocol/encryption.py;PyQuery: Rule 4 | PyCrypto;warning;encryption._AESEnctype.string_to_key.PBKDF2;447;UNKNOWN;Types.Unknown;443
/media/ubuntu/DATA/repositories-python/byt3bl33d3r__CrackMapExec/requirements_licma_analysis/minikerberos-0.2.3-py3-none-any/minikerberos/protocol/encryption.py;PyQuery: Rule 4 | PyCrypto;warning;encryption._AESEnctype.string_to_key.PBKDF2;447;UNKNOWN;Types.Unknown;518
/media/ubuntu/DATA/repositories-python/instagrambot__instabot/requirements_licma_analysis/pycryptodome-3.9.8-cp36-cp36m-manylinux1_x86_64/Crypto/Protocol/KDF.py;PyQuery: Rule 4 | PyCrypto;warning;KDF.scrypt.PBKDF2;385;UNKNOWN;Types.Unknown;337
/media/ubuntu/DATA/repositories-python/instagrambot__instabot/requirements_licma_analysis/pycryptodome-3.9.8-cp36-cp36m-manylinux1_x86_64/Crypto/Protocol/KDF.py;PyQuery: Rule 4 | PyCrypto;critical;PBKDF2 -> hard coded bytes;405;;Types.StringLiteral;405
/media/ubuntu/DATA/repositories-python/instagrambot__instabot/requirements_licma_analysis/pycryptodome-3.9.8-cp36-cp36m-manylinux1_x86_64/Crypto/Protocol/KDF.py;PyQuery: Rule 5 | PyCrypto;critical;PBKDF2 -> hard coded int;385;1;Types.NumberLiteral;385
/media/ubuntu/DATA/repositories-python/instagrambot__instabot/requirements_licma_analysis/pycryptodome-3.9.8-cp36-cp36m-manylinux1_x86_64/Crypto/Protocol/KDF.py;PyQuery: Rule 5 | PyCrypto;critical;PBKDF2 -> hard coded int;406;1;Types.NumberLiteral;406
/media/ubuntu/DATA/repositories-python/instagrambot__instabot/requirements_licma_analysis/pycryptodomex-3.9.8-cp36-cp36m-manylinux1_x86_64/Cryptodome/Protocol/KDF.py;PyQuery: Rule 4 | PyCrypto;warning;KDF.scrypt.PBKDF2;385;UNKNOWN;Types.Unknown;337
/media/ubuntu/DATA/repositories-python/instagrambot__instabot/requirements_licma_analysis/pycryptodomex-3.9.8-cp36-cp36m-manylinux1_x86_64/Cryptodome/Protocol/KDF.py;PyQuery: Rule 4 | PyCrypto;critical;PBKDF2 -> hard coded bytes;405;;Types.StringLiteral;405
/media/ubuntu/DATA/repositories-python/instagrambot__instabot/requirements_licma_analysis/pycryptodomex-3.9.8-cp36-cp36m-manylinux1_x86_64/Cryptodome/Protocol/KDF.py;PyQuery: Rule 5 | PyCrypto;critical;PBKDF2 -> hard coded int;385;1;Types.NumberLiteral;385
/media/ubuntu/DATA/repositories-python/instagrambot__instabot/requirements_licma_analysis/pycryptodomex-3.9.8-cp36-cp36m-manylinux1_x86_64/Cryptodome/Protocol/KDF.py;PyQuery: Rule 5 | PyCrypto;critical;PBKDF2 -> hard coded int;406;1;Types.NumberLiteral;406
/media/ubuntu/DATA/repositories-python/guardicore__monkey/requirements_licma_analysis/impacket-0.9.21/impacket-0.9.21/impacket/krb5/crypto.py;PyQuery: Rule 1 | PyCrypto;critical;AES.new -> hard coded attribute;448;MODE_ECB;Types.StringLiteral;448
/media/ubuntu/DATA/repositories-python/guardicore__monkey/requirements_licma_analysis/impacket-0.9.21/impacket-0.9.21/impacket/krb5/crypto.py;PyQuery: Rule 2 | PyCrypto;critical;AES.new -> hard coded bytes;436;;Types.StringLiteral;436
/media/ubuntu/DATA/repositories-python/guardicore__monkey/requirements_licma_analysis/impacket-0.9.21/impacket-0.9.21/impacket/krb5/crypto.py;PyQuery: Rule 4 | PyCrypto;warning;crypto._AESEnctype.string_to_key.PBKDF2;429;UNKNOWN;Types.Unknown;357
/media/ubuntu/DATA/repositories-python/guardicore__monkey/requirements_licma_analysis/impacket-0.9.21/impacket-0.9.21/impacket/krb5/crypto.py;PyQuery: Rule 4 | PyCrypto;warning;crypto._AESEnctype.string_to_key.PBKDF2;429;UNKNOWN;Types.Unknown;399
/media/ubuntu/DATA/repositories-python/guardicore__monkey/requirements_licma_analysis/impacket-0.9.21/impacket-0.9.21/impacket/krb5/crypto.py;PyQuery: Rule 4 | PyCrypto;warning;crypto._AESEnctype.string_to_key.PBKDF2;429;UNKNOWN;Types.Unknown;426
/media/ubuntu/DATA/repositories-python/guardicore__monkey/requirements_licma_analysis/impacket-0.9.21/impacket-0.9.21/impacket/krb5/crypto.py;PyQuery: Rule 4 | PyCrypto;warning;crypto._AESEnctype.string_to_key.PBKDF2;429;UNKNOWN;Types.Unknown;500
/media/ubuntu/DATA/repositories-python/guardicore__monkey/requirements_licma_analysis/pycryptodome-3.9.8-cp36-cp36m-manylinux1_x86_64/Crypto/Protocol/KDF.py;PyQuery: Rule 4 | PyCrypto;warning;KDF.scrypt.PBKDF2;385;UNKNOWN;Types.Unknown;337
/media/ubuntu/DATA/repositories-python/guardicore__monkey/requirements_licma_analysis/pycryptodome-3.9.8-cp36-cp36m-manylinux1_x86_64/Crypto/Protocol/KDF.py;PyQuery: Rule 4 | PyCrypto;critical;PBKDF2 -> hard coded bytes;405;;Types.StringLiteral;405
/media/ubuntu/DATA/repositories-python/guardicore__monkey/requirements_licma_analysis/pycryptodome-3.9.8-cp36-cp36m-manylinux1_x86_64/Crypto/Protocol/KDF.py;PyQuery: Rule 5 | PyCrypto;critical;PBKDF2 -> hard coded int;385;1;Types.NumberLiteral;385
/media/ubuntu/DATA/repositories-python/guardicore__monkey/requirements_licma_analysis/pycryptodome-3.9.8-cp36-cp36m-manylinux1_x86_64/Crypto/Protocol/KDF.py;PyQuery: Rule 5 | PyCrypto;critical;PBKDF2 -> hard coded int;406;1;Types.NumberLiteral;406
/media/ubuntu/DATA/repositories-python/guardicore__monkey/requirements_licma_analysis/pycryptodomex-3.9.8-cp36-cp36m-manylinux1_x86_64/Cryptodome/Protocol/KDF.py;PyQuery: Rule 4 | PyCrypto;warning;KDF.scrypt.PBKDF2;385;UNKNOWN;Types.Unknown;337
/media/ubuntu/DATA/repositories-python/guardicore__monkey/requirements_licma_analysis/pycryptodomex-3.9.8-cp36-cp36m-manylinux1_x86_64/Cryptodome/Protocol/KDF.py;PyQuery: Rule 4 | PyCrypto;critical;PBKDF2 -> hard coded bytes;405;;Types.StringLiteral;405
/media/ubuntu/DATA/repositories-python/guardicore__monkey/requirements_licma_analysis/pycryptodomex-3.9.8-cp36-cp36m-manylinux1_x86_64/Cryptodome/Protocol/KDF.py;PyQuery: Rule 5 | PyCrypto;critical;PBKDF2 -> hard coded int;385;1;Types.NumberLiteral;385
/media/ubuntu/DATA/repositories-python/guardicore__monkey/requirements_licma_analysis/pycryptodomex-3.9.8-cp36-cp36m-manylinux1_x86_64/Cryptodome/Protocol/KDF.py;PyQuery: Rule 5 | PyCrypto;critical;PBKDF2 -> hard coded int;406;1;Types.NumberLiteral;406
/media/ubuntu/DATA/repositories-python/the0demiurge__ShadowSocksShare/requirements_licma_analysis/pycryptodome-3.9.8-cp36-cp36m-manylinux1_x86_64/Crypto/Protocol/KDF.py;PyQuery: Rule 4 | PyCrypto;warning;KDF.scrypt.PBKDF2;385;UNKNOWN;Types.Unknown;337
/media/ubuntu/DATA/repositories-python/the0demiurge__ShadowSocksShare/requirements_licma_analysis/pycryptodome-3.9.8-cp36-cp36m-manylinux1_x86_64/Crypto/Protocol/KDF.py;PyQuery: Rule 4 | PyCrypto;critical;PBKDF2 -> hard coded bytes;405;;Types.StringLiteral;405
/media/ubuntu/DATA/repositories-python/the0demiurge__ShadowSocksShare/requirements_licma_analysis/pycryptodome-3.9.8-cp36-cp36m-manylinux1_x86_64/Crypto/Protocol/KDF.py;PyQuery: Rule 5 | PyCrypto;critical;PBKDF2 -> hard coded int;385;1;Types.NumberLiteral;385
/media/ubuntu/DATA/repositories-python/the0demiurge__ShadowSocksShare/requirements_licma_analysis/pycryptodome-3.9.8-cp36-cp36m-manylinux1_x86_64/Crypto/Protocol/KDF.py;PyQuery: Rule 5 | PyCrypto;critical;PBKDF2 -> hard coded int;406;1;Types.NumberLiteral;406
/media/ubuntu/DATA/repositories-python/facebookarchive__python-instagram/requirements_licma_analysis/Beaker-1.6.4/Beaker-1.6.4/beaker/crypto/__init__.py;PyQuery: Rule 4 | PyCrypto;warning;__init__.generateCryptoKeys.PBKDF2;42;UNKNOWN;Types.Unknown;37
/media/ubuntu/DATA/repositories-python/nvbn__thefuck/requirements_licma_analysis/cryptography-3.0-cp35-abi3-manylinux1_x86_64/cryptography/hazmat/primitives/keywrap.py;PyQuery: Rule 1 | M2Crypto;warning;keywrap._wrap_core.Cipher;17;UNKNOWN;Types.Unknown;36
/media/ubuntu/DATA/repositories-python/nvbn__thefuck/requirements_licma_analysis/cryptography-3.0-cp35-abi3-manylinux1_x86_64/cryptography/hazmat/primitives/keywrap.py;PyQuery: Rule 1 | M2Crypto;warning;keywrap._wrap_core.Cipher;17;UNKNOWN;Types.Unknown;74
/media/ubuntu/DATA/repositories-python/nvbn__thefuck/requirements_licma_analysis/cryptography-3.0-cp35-abi3-manylinux1_x86_64/cryptography/hazmat/primitives/keywrap.py;PyQuery: Rule 1 | M2Crypto;warning;keywrap._unwrap_core.Cipher;53;UNKNOWN;Types.Unknown;93
